Datum/Zeit,         Temp1,          Temp2,          Druck1,         Druck2
20220906_070759,   25.61,       25.81,      991.1034061268865,    991.6226682980007
20220906_070801,   25.6,       25.81,      991.0916201416346,    991.6269321558575
20220906_070803,   25.61,       25.81,      991.0407814061202,    991.6399466780617
20220906_070805,   25.6,       25.79,      991.0342637372155,    991.5626345240919
20220906_070807,   25.61,       25.81,      991.0634122034513,    991.5966393775816
20220906_070808,   25.61,       25.8,      991.0807754554954,    991.6444332850946
20220906_070810,   25.61,       25.8,      991.1034061268865,    991.6102047574844
20220906_070812,   25.61,       25.81,      991.1034061268865,    991.5836249261256
20220906_070813,   25.6,       25.79,      991.1009192125952,    991.5843991494506
20220906_070815,   25.6,       25.8,      991.0649578369059,    991.6059409297262
20220906_070817,   25.6,       25.79,      991.0689897705367,    991.5886629086222
20220906_070818,   25.6,       25.79,      991.1009192125952,    991.5626345240919
20220906_070820,   25.6,       25.8,      991.1182824708565,    991.6319694557507
20220906_070821,   25.6,       25.8,      991.0649578369059,    991.6059409297262
20220906_070823,   25.6,       25.8,      991.1142503260407,    991.592926675467
20220906_070825,   25.6,       25.8,      991.042327381848,    991.5793612356631
20220906_070827,   25.59,       25.8,      991.0665032083599,    991.5711618524912
20220906_070828,   25.6,       25.8,      991.0556585731308,    991.5711618524912
20220906_070830,   25.59,       25.8,      991.079834205277,    991.6144685929155
20220906_070832,   25.6,       25.8,      991.0342637372155,    991.5581475624978
20220906_070833,   25.6,       25.8,      991.0835560746335,    991.5884398772694
20220906_070835,   25.6,       25.8,      991.0742570040734,    991.6144685929155
20220906_070837,   25.6,       25.79,      991.0568939868118,    991.5496203405797
20220906_070839,   25.6,       25.8,      991.0302319234829,    991.5668981844552
20220906_070840,   25.6,       25.8,      991.1409125713021,    991.5754255281997
20220906_070842,   25.6,       25.8,      991.024964425738,    991.592926675467
20220906_070844,   25.6,       25.81,      991.0435629520857,    991.5706104805053
20220906_070845,   25.6,       25.8,      991.0076015899265,    991.5581475624978
20220906_070847,   25.6,       25.8,      991.042327381848,    991.5754255281997
20220906_070849,   25.6,       25.8,      991.0289961966888,    991.5799124270435
20220906_070850,   25.61,       25.8,      991.0193866073996,    991.5754255281997
20220906_070852,   25.61,       25.81,      991.0193866073996,    991.5836249261256
20220906_070854,   25.6,       25.8,      991.0516266937267,    991.5233681902762
20220906_070855,   25.61,       25.81,      991.036749618445,    991.5185527563801
20220906_070857,   25.6,       25.81,      990.9849710696799,    991.5185527563801
20220906_070859,   25.6,       25.8,      991.024964425738,    991.4930762000632
20220906_070901,   25.61,       25.8,      991.0060553844319,    991.5363825160038
20220906_070902,   25.61,       25.8,      991.032717836491,    991.605390037929
20220906_070904,   25.61,       25.8,      991.0500809078865,    991.4930762000632
20220906_070906,   25.61,       25.8,      991.0593803130438,    991.5363825160038
20220906_070907,   25.61,       25.8,      990.9927241675873,    991.514841272457
20220906_070909,   25.61,       25.81,      991.0500809078865,    991.5400941566704
20220906_070911,   25.61,       25.81,      990.9874560926827,    991.5531086912655
20220906_070913,   25.6,       25.8,      991.0116333009286,    991.5533324567396
20220906_070914,   25.61,       25.8,      991.0100870579325,    991.5663468432837
20220906_070916,   25.61,       25.8,      991.0007874118568,    991.4882606115539
20220906_070918,   25.61,       25.8,      991.0234183351271,    991.5533324567396
20220906_070920,   25.61,       25.81,      991.0193866073996,    991.5358306638286
20220906_070921,   25.61,       25.8,      991.0541127497886,    991.5363825160038
20220906_070923,   25.61,       25.8,      991.032717836491,    991.5142893321213
20220906_070925,   25.61,       25.8,      991.0500809078865,    991.5103538703842
20220906_070927,   25.62,       25.8,      991.061866307988,    991.5191047275305
20220906_070928,   25.6,       25.8,      991.0023338447404,    991.5273037011585
20220906_070930,   25.61,       25.8,      991.0407814061202,    991.5624111849656
20220906_070932,   25.6,       25.8,      991.015665017653,    991.5493968475669
20220906_070934,   25.6,       25.8,      991.0023338447404,    991.4973395563278
20220906_070935,   25.6,       25.79,      990.9849710696799,    991.5323426166939
20220906_070937,   25.61,       25.8,      991.0100870579325,    991.5273037011585
20220906_070939,   25.61,       25.8,      991.0193866073996,    991.5971904499846
20220906_070940,   25.61,       25.79,      991.032717836491,    991.4715353620508
20220906_070942,   25.61,       25.8,      991.0727115605052,    991.4843252481069
20220906_070944,   25.6,       25.8,      991.0023338447404,    991.5233681902762
20220906_070946,   25.61,       25.81,      991.0007874118568,    991.5185527563801
20220906_070947,   25.6,       25.8,      991.0023338447404,    991.5273037011585
20220906_070949,   25.61,       25.8,      991.0193866073996,    991.4757986497306
20220906_070951,   25.61,       25.8,      991.0727115605052,    991.4888128514706
20220906_070953,   25.61,       25.8,      991.0060553844319,    991.5533324567396
20220906_070954,   25.61,       25.81,      991.0593803130438,    991.5575960407206
20220906_070956,   25.61,       25.81,      991.0460490717056,    991.5358306638286
20220906_070958,   25.6,       25.8,      991.024964425738,    991.4973395563278
20220906_070959,   25.6,       25.8,      991.042327381848,    991.5363825160038
20220906_071001,   25.6,       25.79,      991.024964425738,    991.5323426166939
20220906_071003,   25.61,       25.8,      991.0541127497886,    991.5451332783398
20220906_071005,   25.61,       25.79,      991.0460490717056,    991.5843991494506
20220906_071006,   25.61,       25.79,      991.1074381856964,    991.4802861773029
20220906_071008,   25.61,       25.79,      991.0500809078865,    991.5626345240919
20220906_071010,   25.61,       25.8,      990.9793929568663,    991.4973395563278
20220906_071012,   25.61,       25.8,      991.036749618445,    991.5799124270435
20220906_071014,   25.61,       25.8,      991.0711658549312,    991.5363825160038
20220906_071015,   25.6,       25.8,      991.042327381848,    991.5233681902762
